id;timestamp;genes;clean_acc;blackbox_acc
2;2025-11-25T12:59:27.463427;[1. 0. 1. 1. 0. 2. 2. 2. 0. 0. 0. 1. 2. 1. 0. 2.];80,35714286;65,4265873
14;2025-11-25T13:38:07.483998;[2. 2. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 2.];80,35714286;62,3015873
41;2025-11-24T19:34:19.640174;[0. 2. 2. 1. 0. 2. 2. 2. 0. 1. 0. 1. 0. 2. 0. 1.];80,25793651;58,68055556
48;2025-11-25T15:27:31.767187;[0. 1. 2. 0. 2. 0. 0. 1. 2. 1. 2. 1. 2. 1. 0. 2.];80,25793651;37,79761905
4;2025-11-21T12:02:45.140244;[0. 1. 0. 0. 0. 0. 1. 0. 2. 1. 2. 1. 2. 1. 1. 0.];80,15873016;40,17857143
39;2025-11-25T11:53:39.221849;[0. 2. 2. 1. 2. 2. 0. 1. 0. 1. 0. 0. 2. 2. 0. 2.];80,05952381;54,91071429
11;2025-11-24T17:02:50.800953;[0. 1. 2. 0. 1. 1. 2. 0. 1. 2. 2. 1. 0. 2. 1. 0.];80,05952381;60,21825397
13;2025-11-21T12:29:50.774422;[2. 2. 2. 1. 2. 2. 1. 1. 2. 0. 1. 2. 1. 1. 0. 1.];79,76190476;62,05357143
42;2025-11-25T12:03:47.096867;[2. 1. 0. 2. 1. 0. 0. 1. 2. 0. 2. 0. 2. 2. 2. 0.];79,56349206;55,10912698
36;2025-11-21T13:34:18.862575;[0. 1. 0. 1. 2. 0. 0. 0. 2. 2. 0. 0. 0. 0. 1. 1.];79,56349206;54,56349206
28;2025-11-24T18:27:31.207099;[2. 1. 1. 2. 0. 1. 2. 2. 2. 0. 1. 2. 2. 1. 1. 2.];79,56349206;66,46825397
33;2025-11-25T14:43:38.689081;[2. 2. 0. 0. 1. 1. 0. 2. 2. 0. 1. 1. 0. 0. 0. 0.];79,56349206;45,93253968
17;2025-11-21T12:39:29.359175;[2. 2. 0. 0. 1. 0. 1. 0. 0. 2. 0. 2. 2. 1. 0. 0.];79,46428571;64,58333333
34;2025-11-25T11:38:39.785764;[0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 2. 2. 0. 1. 0. 1.];79,36507937;55,6547619
43;2025-11-24T15:10:24.583274;[1. 2. 1. 0. 2. 2. 0. 2. 2. 0. 2. 1. 0. 1. 1. 1.];79,26587302;51,09126984
30;2025-11-21T13:17:20.884957;[1. 2. 1. 0. 2. 1. 0. 1. 2. 0. 2. 2. 2. 1. 0. 2.];79,16666667;49,05753968
25;2025-11-25T14:12:15.631865;[0. 0. 2. 2. 0. 0. 2. 1. 0. 1. 1. 0. 0. 1. 1. 1.];79,06746032;55,05952381
34;2025-11-25T19:41:02.405524;[2. 1. 2. 1. 1. 2. 0. 2. 0. 2. 0. 0. 0. 1. 1. 0.];79,06746032;73,80952381
38;2025-11-25T19:48:43.874647;[2. 1. 2. 1. 1. 2. 0. 2. 0. 1. 0. 0. 0. 1. 1. 0.];79,06746032;72,4702381
26;2025-11-24T18:15:11.173164;[0. 0. 0. 0. 1. 0. 2. 0. 1. 2. 0. 2. 1. 1. 0. 1.];78,96825397;55,15873016
30;2025-11-25T14:32:21.066116;[1. 1. 0. 0. 0. 1. 2. 2. 0. 1. 0. 0. 0. 0. 1. 0.];78,96825397;44,44444444
35;2025-11-24T19:03:22.012962;[1. 0. 2. 2. 0. 2. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0.];78,86904762;56,20039683
31;2025-11-25T14:37:22.463290;[1. 1. 0. 1. 0. 0. 2. 2. 1. 2. 1. 1. 0. 2. 1. 0.];78,86904762;55,8531746
44;2025-11-25T12:09:30.783919;[0. 0. 2. 2. 0. 0. 1. 2. 0. 0. 0. 1. 0. 2. 0. 2.];78,76984127;48,11507937
46;2025-11-21T14:08:04.323382;[0. 0. 1. 1. 1. 1. 0. 2. 0. 2. 0. 0. 0. 1. 0. 2.];78,76984127;63,49206349
44;2025-11-24T19:51:56.914653;[1. 2. 2. 1. 0. 1. 2. 2. 0. 2. 0. 1. 1. 2. 1. 2.];78,76984127;66,51785714
18;2025-11-25T13:49:30.345910;[2. 1. 0. 2. 2. 1. 1. 1. 0. 0. 1. 1. 2. 0. 0. 2.];78,76984127;61,75595238
35;2025-11-25T14:50:58.072186;[2. 0. 1. 0. 2. 1. 2. 1. 0. 1. 2. 0. 1. 2. 1. 2.];78,67063492;59,02777778
14;2025-11-25T16:26:29.489812;[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 0. 0. 1. 1. 0.];78,57142857;72,32142857
16;2025-11-25T16:32:43.886319;[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 0. 0. 1. 1. 0.];78,57142857;71,62698413
39;2025-11-25T19:52:43.716962;[2. 1. 2. 1. 1. 2. 0. 2. 0. 0. 0. 0. 0. 1. 1. 0.];78,47222222;74,55357143
8;2025-11-21T12:13:47.927298;[2. 0. 2. 1. 1. 0. 1. 2. 0. 2. 1. 2. 1. 2. 1. 2.];78,37301587;71,37896825
1;2025-11-25T15:38:56.724691;[2. 1. 2. 1. 1. 1. 0. 2. 0. 1. 0. 0. 0. 1. 1. 0.];78,27380952;73,75992063
18;2025-11-24T17:31:32.647621;[2. 0. 0. 0. 2. 1. 2. 2. 0. 0. 1. 1. 0. 2. 1. 1.];78,07539683;64,63293651
9;2025-11-25T10:26:50.494577;[2. 2. 2. 0. 1. 2. 2. 2. 1. 0. 1. 0. 0. 2. 0. 0.];77,97619048;55,80357143
14;2025-11-24T17:14:03.712164;[2. 0. 2. 0. 2. 0. 0. 1. 0. 1. 0. 2. 0. 0. 1. 2.];77,97619048;46,13095238
37;2025-11-25T14:55:36.457887;[1. 2. 2. 0. 1. 2. 0. 1. 0. 1. 1. 1. 2. 2. 2. 0.];77,97619048;48,41269841
35;2025-11-25T17:29:12.302023;[2. 1. 2. 1. 1. 1. 0. 2. 0. 2. 0. 1. 0. 1. 1. 0.];77,97619048;72,91666667
