timestamp;epoch;genotype_normal;genotype_reduce;genotype_full;fgsm_acc;pgd_acc;robustness;params;total_time_sec
37:23,8;56;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:24,0;57;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:24,2;58;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:24,4;59;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:24,6;60;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:24,8;61;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,0;62;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,1;63;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,3;64;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||none||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,5;65;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,7;66;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:25,9;67;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:26,1;68;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:26,3;69;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:26,5;70;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:26,7;71;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:26,9;72;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:27,1;73;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:27,3;74;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:27,5;75;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:27,7;76;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:27,9;77;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:28,1;78;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:28,3;79;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:28,5;80;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:28,7;81;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:28,9;82;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:29,0;83;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:29,2;84;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:29,4;85;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:29,6;86;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:29,8;87;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:30,0;88;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:30,2;89;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:30,4;90;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:30,6;91;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:30,8;92;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,0;93;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,2;94;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,4;95;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,6;96;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,7;97;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:31,9;98;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:32,1;99;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:32,3;100;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:32,5;101;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:32,7;102;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:32,9;103;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:33,1;104;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:33,3;105;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:33,5;106;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:33,7;107;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:33,9;108;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:34,1;109;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:34,3;110;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:34,5;111;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:34,7;112;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:34,9;113;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:35,1;114;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:35,3;115;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:35,5;116;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:35,7;117;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:35,8;118;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:36,0;119;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:36,2;120;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:36,4;121;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:36,6;122;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:36,8;123;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:37,0;124;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:37,2;125;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
37:37,4;126;-;-;gat_cos||sage_sum||gat_generalized_linear||skip||skip||skip||l_lstm;30,25830269;30,25830269;30,25830269;150132;39,02394176
