Generation,CleanAcc,BlackAcc
22,89.68253968253968,69.99007936507937
23,88.4920634920635,73.21428571428571
23,86.30952380952381,75.5952380952381
23,83.92857142857143,76.24007936507937
23,88.39285714285714,75.1984126984127
23,88.88888888888889,72.37103174603175
23,89.68253968253968,69.99007936507937
24,88.4920634920635,73.21428571428571
24,86.30952380952381,75.5952380952381
24,83.92857142857143,76.24007936507937
24,88.39285714285714,75.1984126984127
24,88.88888888888889,72.37103174603175
24,89.68253968253968,69.99007936507937
25,88.4920634920635,73.21428571428571
25,86.30952380952381,75.5952380952381
25,83.92857142857143,76.24007936507937
25,88.39285714285714,75.1984126984127
25,88.88888888888889,72.37103174603175
25,89.68253968253968,69.99007936507937
26,88.4920634920635,73.21428571428571
26,86.30952380952381,75.5952380952381
26,83.92857142857143,76.24007936507937
26,88.39285714285714,75.1984126984127
26,88.88888888888889,72.37103174603175
26,89.68253968253968,69.99007936507937
27,88.4920634920635,73.21428571428571
27,86.30952380952381,75.5952380952381
27,83.92857142857143,76.24007936507937
27,88.39285714285714,75.1984126984127
27,88.88888888888889,72.37103174603175
27,89.68253968253968,69.99007936507937
28,88.4920634920635,73.21428571428571
28,86.30952380952381,75.5952380952381
28,83.92857142857143,76.24007936507937
28,88.39285714285714,75.1984126984127
28,88.88888888888889,72.37103174603175
28,89.68253968253968,69.99007936507937
29,88.4920634920635,73.21428571428571
29,86.30952380952381,75.5952380952381
29,83.92857142857143,76.24007936507937
29,88.39285714285714,75.1984126984127
29,88.88888888888889,72.37103174603175
29,89.68253968253968,69.99007936507937
